Rating,Size,Type_of_ownership,Industry,Sector,Revenue,Easy_Apply,Job_Title_simp,Job_Seniority,avg_salary,company_name,python_yn,R_yn,spark,aws,excel,job_state,job_headquarters,age_of_company,num_comp
2.9,201 to 500 employees,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,1,data_analyst,na,73,Audentes Therapeutics,0,0,0,0,0,CA, CA,11,3
2.6,501 to 1000 employees,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,1,data_analyst,senior,124,Software Engineering Institute,0,0,0,0,0,PA, PA,39,0
3.8,501 to 1000 employees,Subsidiary or Business Segment,Consumer Product Rental,Consumer Services,Unknown / Non-Applicable,0,data_engineer,na,65,Shipt,1,0,1,1,1,AL, AL,9,0
3.5,1001 to 5000 employees,Company - Private,Banks & Credit Unions,Finance,$100 to $500 million (USD),0,data_scientist,na,99.5,First Tech Federal Credit Union,1,0,1,1,1,OR, CA,71,0
2.5,1 to 50 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,1,data_scientist,na,143.5,CareDx,1,0,0,0,1,CA, CA,2024,1
4.4,1 to 50 employees,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,1,data_scientist,senior,116.5,Entefy,1,0,0,0,0,CA, CA,11,0
3.2,501 to 1000 employees,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,0,data_engineer,na,64.5,Guidepoint,1,0,0,1,1,NY, NY,20,3
3.8,1001 to 5000 employees,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),1,data_scientist,na,67,PNNL,1,0,0,0,0,WA, WA,58,3
4,501 to 1000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),0,data_engineer,senior,97,Novetta,1,0,1,1,0,VA, VA,11,3
3.6,5001 to 10000 employees,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),1,data_analyst,na,129.5,MassMutual,1,0,1,1,1,MA, MA,172,0
5,51 to 200 employees,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,0,data_engineer,na,132.5,Gridiron IT,0,0,0,0,0,FL, VA,6,0
4.1,5001 to 10000 employees,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),0,data_scientist,na,85,ManTech,0,0,0,0,0,VA, VA,55,0
3.9,1001 to 5000 employees,Nonprofit Organization,Research & Development,Business Services,$500 million to $1 billion (USD),1,data_analyst,na,60,Southwest Research Institute,0,0,0,0,0,TX, TX,76,3
4.3,51 to 200 employees,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,0,data_analyst,na,103.5,Maximus Real Estate Partners,0,0,0,0,1,CA, CA,10,3
3.7,5001 to 10000 employees,Company - Public,Insurance Carriers,Insurance,$5 to $10 billion (USD),1,data_scientist,senior,146.5,The Hanover Insurance Group,1,0,0,0,1,MA, MA,171,0
4.1,51 to 200 employees,Company - Private,Internet,Information Technology,$50 to $100 million (USD),1,data_engineer,senior,205,Credit Sesame,1,0,1,1,0,CA, CA,13,3
2.7,501 to 1000 employees,Subsidiary or Business Segment,Research & Development,Business Services,$50 to $100 million (USD),1,data_analyst,na,76,EAG Laboratories,0,0,0,0,1,MO, CA,45,0
4.4,201 to 500 employees,Subsidiary or Business Segment,Metals Brokers,Mining & Metals,Unknown / Non-Applicable,1,data_scientist,senior,107,The David J. Joseph Company,1,0,0,1,0,OH, OH,138,0
2.9,201 to 500 employees,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,0,data_analyst,na,73,Audentes Therapeutics,0,0,0,0,0,CA, CA,11,3
3.3,501 to 1000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,1,data_analyst,na,50,The HSC Health Care System,0,0,0,0,1,DC, DC,140,0
3.8,1001 to 5000 employees,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),1,data_scientist,na,67,Pacific Northwest National Laboratory,0,0,0,0,0,WA, WA,58,3
3.4,10000+ employees,Company - Public,Insurance Carriers,Insurance,$5 to $10 billion (USD),0,data_scientist,senior,110.5,Assurant,0,0,0,0,1,OH, NY,45,3
3.7,10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),1,data_scientist,na,113.5,Takeda Pharmaceuticals,1,0,1,0,0,MA, Japan,242,3
4,51 to 200 employees,Unknown,Architectural & Engineering Services,Business Services,$25 to $50 million (USD),0,data_analyst,na,39.5,Alliance Source Testing,0,0,0,0,0,AL, AL,23,0
3.7,10000+ employees,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),0,data_scientist,director,173,Northrop Grumman,1,0,0,0,0,CA, VA,84,0
3.7,10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),0,data_analyst,na,76.5,Takeda Pharmaceuticals,0,0,0,0,1,MA, Japan,242,3
3.7,201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,1,data_analyst,na,59,Corcentric,0,0,0,0,1,NJ, NJ,27,0
3.7,10000+ employees,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),0,data_scientist,na,109.5,Northrop Grumman,0,0,0,0,1,CA, VA,84,0
4.7,201 to 500 employees,Company - Private,Advertising & Marketing,Business Services,$25 to $50 million (USD),0,data_analyst,jr,56.5,webfx.com,0,0,0,0,1,PA, PA,26,0
3.6,1001 to 5000 employees,Company - Private,Gambling,"Arts, Entertainment & Recreation",$100 to $500 million (USD),0,data_analyst,na,48.5,San Manuel Casino,0,0,0,0,1,CA, CA,37,0
4.3,201 to 500 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),1,data_scientist,na,69.5,Solugenix Corporation,1,0,0,0,1,AZ, CA,54,0
3.8,1001 to 5000 employees,Company - Private,Travel Agencies,Travel & Tourism,$2 to $5 billion (USD),0,data_analyst,na,65,Fareportal,0,0,0,0,1,NY, NY,21,3
3.8,51 to 200 employees,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,1,data_scientist,na,121,7Park Data,1,0,1,0,0,NY, NY,11,0
2.8,501 to 1000 employees,Nonprofit Organization,Social Assistance,Non-Profit,$50 to $100 million (USD),0,data_analyst,na,47.5,Community Action Partnership of San Luis Obispo,0,0,0,0,1,CA, CA,2024,0
3.6,1001 to 5000 employees,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,1,data_analyst,director,161.5,TRANZACT,1,0,0,1,1,NJ, NJ,34,0
4.7,51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),0,data_engineer,senior,94.5,Strategic Employment Partners,1,0,0,1,0,CA, CA,17,0
3,501 to 1000 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,1,data_analyst,senior,133,Tempus Labs,1,0,0,1,0,IL, IL,8,0
2.7,1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,1,data_engineer,senior,103,Bridg,0,0,1,1,0,CA, CA,12,0
3.6,1001 to 5000 employees,Company - Public,Auctions & Galleries,Retail,$500 million to $1 billion (USD),0,data_scientist,na,128,Sotheby's,1,0,0,0,0,NY, NY,279,0
3.9,1001 to 5000 employees,Company - Private,Industrial Manufacturing,Manufacturing,$1 to $2 billion (USD),0,data_engineer,na,77.5,Vermeer,0,0,0,0,1,IA, IA,75,3
3.9,10000+ employees,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),1,data_scientist,na,163,Genentech,0,0,0,0,1,CA, CA,47,0
3.7,501 to 1000 employees,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,1,data_engineer,na,70.5,P2 Energy Solutions,0,0,0,0,1,LA, CO,2024,0
3.6,5001 to 10000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,1,data_analyst,na,20.5,Tower Health,0,0,0,0,0,PA, PA,6,0
3.1,201 to 500 employees,Company - Public,Advertising & Marketing,Business Services,$100 to $500 million (USD),0,data_scientist,na,56.5,C Space,1,0,0,0,0,MA, MA,24,4
4.7,51 to 200 employees,Company - Private,Consulting,Business Services,$25 to $50 million (USD),1,data_engineer,na,95,Object Partners,0,0,1,1,0,MN, MN,27,2
4,10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),1,data_scientist,senior,167.5,Pfizer,0,0,0,1,1,NY, NY,174,0
3.7,10000+ employees,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),0,data_scientist,director,173,Northrop Grumman,1,0,0,0,0,CA, VA,84,0
2.9,1001 to 5000 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,0,data_analyst,senior,80,Q2 Solutions,0,0,0,0,1,GA, NC,8,0
3.3,1001 to 5000 employees,Company - Public,Consulting,Business Services,$2 to $5 billion (USD),1,data_analyst,na,123.5,TriNet,0,0,0,0,1,CA, CA,35,3
3.4,201 to 500 employees,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,1,data_scientist,na,95,"Remedy BPCI Partners, LLC.",1,0,1,1,0,NY, CT,12,2
4,10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),0,data_scientist,na,84,Pfizer,0,0,0,1,1,CT, NY,174,0
3.8,1001 to 5000 employees,Company - Private,Travel Agencies,Travel & Tourism,$2 to $5 billion (USD),1,data_analyst,na,53.5,Fareportal,1,0,0,0,1,NY, NY,21,3
4.2,201 to 500 employees,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,1,data_engineer,na,85.5,Clarity Insights,1,0,0,0,1,NC, IL,15,0
4.4,201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,1,data_scientist,na,100.5,Quick Base,1,0,0,0,1,MA, MA,24,0
4.3,201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,1,data_scientist,na,153.5,h2o.ai,1,0,1,1,1,CA, CA,12,0
4,5001 to 10000 employees,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),0,data_scientist,senior,150.5,Autodesk,1,0,1,0,0,CA, CA,41,0
3.2,1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),0,data_analyst,manager,127.5,"Numeric, LLC",0,0,0,0,1,PA, PA,2024,0
3.6,5001 to 10000 employees,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),0,data_scientist,senior,164,MassMutual,1,0,1,1,0,MA, MA,172,0
3.9,10000+ employees,Company - Private,IT Services,Information Technology,$2 to $5 billion (USD),1,data_engineer,na,87,AVANADE,0,0,0,0,0,DC, WA,23,3
2.1,201 to 500 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$25 to $50 million (USD),0,data_analyst,na,111.5,Cerus Corporation,0,0,0,0,1,CA, CA,2024,0
3.8,1001 to 5000 employees,Company - Private,Insurance Carriers,Insurance,$2 to $5 billion (USD),0,data_engineer,na,58.5,COUNTRY Financial,1,0,1,0,1,IL, IL,98,3
4.4,201 to 500 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),1,data_analyst,na,62,Rubius Therapeutics,0,0,0,0,0,MA, MA,10,0
3.7,10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),0,data_analyst,na,76.5,Takeda Pharmaceuticals,0,0,0,0,1,MA, Japan,242,3
3.8,1001 to 5000 employees,Company - Private,Travel Agencies,Travel & Tourism,$2 to $5 billion (USD),0,data_analyst,na,65,Fareportal,0,0,0,0,1,NY, NY,21,3
3.9,51 to 200 employees,Company - Private,Financial Analytics & Research,Finance,$50 to $100 million (USD),1,data_scientist,senior,180,Zest AI,1,0,0,0,1,CA, CA,14,0
3.8,1001 to 5000 employees,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),1,data_scientist,senior,80.5,PNNL,0,0,0,0,0,WA, WA,58,3
3.9,10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),1,data_analyst,senior,84.5,GSK,0,0,0,1,0,MA, United Kingdom,193,3
3.3,1001 to 5000 employees,Company - Private,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),1,data_analyst,senior,107.5,Johns Hopkins Health Care,0,0,0,0,0,MD, MD,134,3
3.6,5001 to 10000 employees,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),1,data_engineer,na,92,MassMutual,1,0,1,0,1,MA, MA,172,0
3.7,10000+ employees,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),0,data_analyst,na,62.5,Raytheon,0,0,0,0,1,AL, MA,101,0
3,501 to 1000 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,0,data_analyst,senior,100,Exelixis,0,0,0,0,1,CA, CA,29,3
4.4,201 to 500 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),0,data_analyst,senior,134.5,Rubius Therapeutics,0,0,0,0,0,MA, MA,10,0
3.9,201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,1,data_scientist,senior,165,Quartet Health,1,0,0,0,0,NY, NY,9,0
3.7,501 to 1000 employees,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),0,data_analyst,na,71,CALIBRE Systems,0,0,0,0,1,VA, VA,34,3
3.5,501 to 1000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),0,data_analyst,manager,64,Central California Alliance for Health,0,0,0,0,0,CA, CA,27,0
3.9,5001 to 10000 employees,Company - Public,Financial Analytics & Research,Finance,$1 to $2 billion (USD),1,data_scientist,na,85,TransUnion,1,0,1,0,0,GA, IL,55,0
3.3,10000+ employees,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),0,data_analyst,director,194.5,Liberty Mutual Insurance,1,0,0,0,0,IL, MA,111,3
4.5,51 to 200 employees,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),0,data_analyst,na,48,NMR Consulting,0,0,0,0,1,AL, VA,27,0
3.8,10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),1,data_analyst,senior,106.5,Novartis,1,0,0,0,0,MA, Switzerland,27,0
4.3,51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,0,data_scientist,senior,153,Factual,1,0,1,0,1,CA, CA,15,1
3.1,1001 to 5000 employees,Company - Public,Video Games,Media,$10+ billion (USD),1,data_engineer,na,113,NCSOFT,1,0,1,1,1,CA, South Korea,26,3
3.2,5001 to 10000 employees,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion (USD),0,data_scientist,na,69.5,MITRE,1,0,0,0,1,MA, MA,65,3
3.3,501 to 1000 employees,Company - Private,Food & Beverage Manufacturing,Manufacturing,Unknown / Non-Applicable,1,data_analyst,na,54,Palermo's Pizza,0,0,0,0,0,WI, WI,59,0
4.1,501 to 1000 employees,Company - Private,Energy,"Oil, Gas, Energy & Utilities",$1 to $2 billion (USD),0,data_analyst,na,61,Associated Electric Cooperative,0,0,0,0,1,MO, MO,62,0
3.8,1001 to 5000 employees,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),1,data_scientist,na,67,Pacific Northwest National Laboratory,0,0,0,0,0,WA, WA,58,3
3.6,1001 to 5000 employees,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,1,data_scientist,na,114,TRANZACT,1,0,0,1,1,NJ, NJ,34,0
3.3,201 to 500 employees,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,1,data_scientist,na,164.5,Samba TV,0,0,0,0,0,CA, CA,15,0
4.2,51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,data_scientist,na,142.5,Nuna,0,0,0,0,0,CA, CA,13,0
3.9,51 to 200 employees,Company - Private,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD),1,data_scientist,na,124,Nurx,1,0,0,0,0,CA, CA,7,0
4.6,51 to 200 employees,Company - Private,Internet,Information Technology,$100 to $500 million (USD),0,data_scientist,na,140,<intent>,1,0,1,0,0,NY, NY,14,2
3.9,10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),0,data_scientist,senior,140,AstraZeneca,1,0,0,0,1,MD, United Kingdom,110,3
3.4,51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,1,data_analyst,na,69,TrueAccord,1,0,0,0,1,CA, CA,10,0
4,5001 to 10000 employees,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),1,data_engineer,na,108,Autodesk,1,0,1,0,0,CA, CA,41,0
2.9,201 to 500 employees,Nonprofit Organization,Colleges & Universities,Education,$25 to $50 million (USD),1,data_analyst,senior,61.5,National Student Clearinghouse,1,0,0,0,1,VA, VA,30,3
3.4,51 to 200 employees,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),1,data_scientist,na,89,"DatamanUSA, LLC",0,0,0,0,0,WA, CO,2024,0
4.2,10000+ employees,Nonprofit Organization,Religious Organizations,Non-Profit,Unknown / Non-Applicable,0,data_analyst,na,72,The Church of Jesus Christ of Latter-day Saints,0,0,0,0,0,UT, UT,2024,0
4,501 to 1000 employees,Company - Public,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),1,data_analyst,na,87,Mteq,1,0,0,0,0,VA, VA,69,2
4.3,201 to 500 employees,Company - Private,Consulting,Business Services,$10 to $25 million (USD),0,data_scientist,na,115,USEReady,1,0,1,1,0,NY, NY,12,0
3.5,5001 to 10000 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),0,data_scientist,na,75.5,Sartorius,1,0,0,0,1,NM, Germany,153,0
3.8,5001 to 10000 employees,Company - Public,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),1,data_scientist,senior,142,Juniper Networks,1,0,1,1,1,CA, CA,27,0
3.4,51 to 200 employees,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),1,data_scientist,na,87.5,Spectrum Communications and Consulting,0,0,0,0,0,IL, IL,31,0
2.4,501 to 1000 employees,Company - Private,Food & Beverage Manufacturing,Manufacturing,$100 to $500 million (USD),0,data_analyst,na,52.5,Teasdale Latin Foods,0,0,0,0,0,IL, TX,2024,0
3.3,1001 to 5000 employees,Company - Private,Insurance Carriers,Insurance,$10 to $25 million (USD),1,data_scientist,senior,98.5,Plymouth Rock Assurance,0,0,0,0,1,NJ, MA,41,2
3.4,1001 to 5000 employees,Company - Private,Consulting,Business Services,$100 to $500 million (USD),0,data_scientist,na,107.5,PA Consulting,0,0,1,0,1,MA, United Kingdom,80,3
3,501 to 1000 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,1,data_analyst,na,87.5,Exelixis,0,0,0,0,1,CA, CA,29,3
4.2,10000+ employees,Nonprofit Organization,Religious Organizations,Non-Profit,Unknown / Non-Applicable,1,data_analyst,na,50,The Church of Jesus Christ of Latter-day Saints,0,0,0,1,1,UT, UT,2024,0
3.5,5001 to 10000 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),0,data_scientist,senior,133.5,Sartorius,1,0,0,0,1,CO, Germany,153,0
4,201 to 500 employees,Company - Private,Consulting,Business Services,$50 to $100 million (USD),1,data_engineer,na,87,Excella Consulting,1,0,0,1,1,VA, VA,21,0
2.7,10000+ employees,Company - Public,IT Services,Information Technology,Unknown / Non-Applicable,1,data_scientist,na,153,Change Healthcare,1,0,1,1,0,CA, TN,16,0
3,10000+ employees,Company - Public,IT Services,Information Technology,$10+ billion (USD),1,data_analyst,na,62.5,Infosys,0,0,0,0,1,CT, India,42,3
3.9,51 to 200 employees,Company - Public,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),1,data_engineer,senior,139,Figure Eight,1,0,0,1,1,CA, CA,15,0
4,10000+ employees,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,0,data_analyst,na,97.5,HP Inc.,0,0,0,0,0,WA, CA,84,0
3.9,10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),1,data_analyst,na,92,AstraZeneca,0,0,0,0,0,MD, United Kingdom,110,3
3.4,10000+ employees,Subsidiary or Business Segment,IT Services,Information Technology,$10+ billion (USD),0,data_analyst,na,85.5,General Dynamics Information Technology,0,0,0,0,0,MD, VA,27,3
4.4,51 to 200 employees,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,0,data_engineer,na,85,BRMi,1,0,1,1,0,VA, DC,19,0
3.7,10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),1,data_analyst,director,140,Takeda Pharmaceuticals,0,0,0,0,1,MA, Japan,242,3
3.5,51 to 200 employees,Company - Private,"Health, Beauty, & Fitness",Consumer Services,$5 to $10 million (USD),0,data_scientist,na,139.5,e-IT Professionals Corp.,1,0,0,0,0,CA, MI,2024,0
3.8,501 to 1000 employees,Company - Public,Financial Transaction Processing,Finance,$50 to $100 million (USD),1,data_scientist,senior,139.5,Bill.com,0,0,0,0,0,CA, CA,17,0
3.2,1001 to 5000 employees,Company - Private,Brokerage Services,Finance,$100 to $500 million (USD),0,data_scientist,na,85,"First Command Financial Services, Inc.",1,0,0,0,1,TX, TX,65,3
3.1,5001 to 10000 employees,Company - Private,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),1,data_analyst,na,103.5,Reynolds American,0,0,0,0,0,KY, NC,148,0
4.3,51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),1,data_engineer,na,100,Productive Edge,0,0,1,0,1,IL, IL,15,3
4.1,1 to 50 employees,Company - Private,K-12 Education,Education,Unknown / Non-Applicable,0,data_analyst,na,111,CK-12 Foundation,1,0,0,1,1,CA, CA,16,0
3.5,1001 to 5000 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),1,data_analyst,senior,154.5,Sunovion,1,0,0,0,1,MA, MA,13,3
4,501 to 1000 employees,Company - Public,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),0,data_analyst,na,87,Mteq,1,0,0,0,0,VA, VA,69,2
3.1,5001 to 10000 employees,Company - Private,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),1,data_analyst,na,99.5,Reynolds American,0,0,0,0,1,NC, NC,148,0
2.8,501 to 1000 employees,Company - Private,Insurance Carriers,Insurance,$500 million to $1 billion (USD),1,data_engineer,na,83,ICW Group,0,0,0,0,0,CA, CA,51,3
2.8,201 to 500 employees,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,1,data_analyst,senior,77.5,Dodge Data & Analytics,1,0,0,0,1,NJ, NJ,9,0
